,nom_jeu,na_vente_jeu,eu_vente_jeu,jp_vente_jeu,autre_vente_jeu,global_vente_jeu,id_calendrier,id_console,id_genre,id_editeur
3034,Castlevania: Lords of Shadow,0.42,0.18,0.01,0.05,0.67,2010-01-01,29,1,276
3035,BioShock Infinite,0.28,0.3,0.0,0.08,0.67,2013-01-01,14,9,495
3036,Minecraft: Story Mode,0.23,0.33,0.0,0.11,0.67,2015-01-01,19,2,335
3037,TV Show King Party,0.18,0.41,0.0,0.08,0.67,2008-01-01,27,6,526
3038,Crafting Mama,0.4,0.21,0.01,0.05,0.67,2010-01-01,5,10,7
3039,007: Quantum of Solace,0.3,0.29,0.01,0.07,0.67,2008-01-01,27,1,22
3040,Rock Band 3,0.56,0.06,0.0,0.05,0.67,2010-01-01,27,4,293
3041,Command & Conquer: Red Alert 3,0.01,0.64,0.0,0.02,0.67,2008-01-01,14,12,139
3042,The Fairly Odd Parents: Breakin Da Rules,0.33,0.25,0.0,0.09,0.67,2003-01-01,17,5,489
3043,WWE SmackDown vs. RAW 2007,0.33,0.2,0.0,0.14,0.67,2006-01-01,20,3,489
3044,Peppa Pig: Fun and Games,0.0,0.58,0.0,0.09,0.67,2010-01-01,5,4,526
3045,Adventures of Tron,0.63,0.03,0.0,0.01,0.67,1981-01-01,1,1,306
3046,Phoenix Wright: Ace Attorney - Trials and Tribulations,0.33,0.05,0.25,0.04,0.67,2007-01-01,5,2,86
3047,NHL 13,0.51,0.11,0.0,0.05,0.67,2012-01-01,29,11,139
3048,Borderlands: The Pre-Sequel,0.25,0.26,0.05,0.11,0.67,2014-01-01,18,9,495
3049,The Sims 3: High-End Loft Stuff,0.01,0.53,0.0,0.12,0.67,2010-01-01,14,10,139
3050,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.48,0.18,0.0,0.01,0.67,,7,1,127
3051,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,0.0,0.0,0.66,0.0,0.66,2006-01-01,5,4,228
3052,Pro Pinball: Big Race USA,0.37,0.25,0.0,0.04,0.66,1999-01-01,16,10,495
3053,NFL Street,0.49,0.15,0.0,0.02,0.66,2004-01-01,30,11,139
3054,Shaun White Snowboarding,0.31,0.24,0.01,0.1,0.66,2008-01-01,18,11,526
3055,The LEGO Movie Videogame,0.35,0.23,0.03,0.06,0.66,2014-01-01,28,1,550
3056,Tony Hawk's Proving Ground,0.55,0.02,0.0,0.09,0.66,2007-01-01,17,11,22
3057,MLB 2004,0.32,0.25,0.0,0.08,0.66,2003-01-01,17,11,457
3058,Naruto Shippuden: Ultimate Ninja 4,0.26,0.01,0.13,0.26,0.66,2007-01-01,17,3,54
3059,Tiger Woods PGA Tour 2000,0.37,0.25,0.0,0.04,0.66,1998-01-01,16,11,139
3060,Darkstone,0.37,0.25,0.0,0.04,0.66,2001-01-01,16,8,139
3061,NCAA March Madness 2003,0.32,0.25,0.0,0.08,0.66,2002-01-01,17,11,139
3062,Finding Nemo,0.48,0.16,0.0,0.02,0.66,2003-01-01,30,1,489
3063,Thrillville,0.55,0.02,0.0,0.09,0.66,2006-01-01,17,12,54
3064,NHL 10,0.51,0.1,0.0,0.06,0.66,2009-01-01,29,11,139
3065,Jikkyou World Soccer 2000 Final Edition,0.0,0.0,0.66,0.0,0.66,2000-01-01,17,11,276
3066,Madagascar,0.52,0.13,0.0,0.02,0.66,2005-01-01,8,5,22
3067,Puzzler Brain Games,0.0,0.0,0.66,0.0,0.66,2012-01-01,27,6,348
3068,Dragon Quest Monsters: Caravan Heart,0.0,0.0,0.64,0.02,0.66,2003-01-01,7,8,145
3069,Strawberry Shortcake: Summertime Adventure,0.47,0.18,0.0,0.01,0.66,2004-01-01,7,2,297
3070,Rayman Legends,0.14,0.38,0.0,0.14,0.66,2013-01-01,18,5,526
3071,Rocksmith 2014,0.35,0.24,0.0,0.07,0.66,2013-01-01,14,4,526
3072,Street Fighter Anniversary Collection,0.32,0.25,0.0,0.08,0.66,2004-01-01,17,3,86
3073,Legend of Legaia,0.37,0.25,0.0,0.04,0.66,1998-01-01,16,8,457
3074,Napoleon: Total War,0.02,0.52,0.0,0.12,0.66,2010-01-01,14,12,447
3075,Fist of the North Star: Ken's Rage,0.06,0.03,0.55,0.02,0.66,2010-01-01,18,1,527
3076,Wario: Master of Disguise,0.28,0.02,0.33,0.03,0.66,2007-01-01,5,5,360
3077,Toy Story 3: The Video Game,0.27,0.25,0.0,0.14,0.66,2010-01-01,20,1,127
3078,The Sims: Bustin' Out,0.43,0.2,0.0,0.03,0.66,2003-01-01,8,10,139
3079,Tiger Woods PGA Tour 09,0.34,0.22,0.0,0.1,0.66,2008-01-01,18,11,139
3080,Keystone Kapers,0.62,0.04,0.0,0.01,0.66,1982-01-01,1,1,22
3081,LEGO Marvel Super Heroes,0.15,0.35,0.0,0.16,0.66,2013-01-01,21,1,550
3082,New Play Control! Pikmin,0.29,0.14,0.19,0.04,0.66,2008-01-01,27,12,360
3083,Shrek: Hassle at the Castle,0.47,0.17,0.0,0.01,0.66,2002-01-01,7,1,487
3084,Suikoden IV,0.17,0.13,0.3,0.05,0.66,2004-01-01,17,8,276
3085,Gods Eater Burst,0.03,0.0,0.62,0.0,0.66,2010-01-01,20,1,348
3086,Disney's Kim Possible 2: Drakken's Demise,0.47,0.17,0.0,0.01,0.66,2004-01-01,7,5,127
3087,Um Jammer Lammy,0.12,0.08,0.41,0.04,0.66,1998-01-01,16,4,457
3088,Brothers In Arms: Road to Hill 30,0.49,0.14,0.0,0.02,0.66,2005-01-01,30,9,526
3089,Madden NFL 10,0.5,0.08,0.0,0.08,0.66,2009-01-01,20,11,139
3090,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",0.23,0.27,0.0,0.16,0.66,2007-01-01,20,1,22
3091,Taiko no Tatsujin DS: Touch de Dokodon!,0.0,0.0,0.66,0.0,0.66,2007-01-01,5,4,348
3092,F1 2015,0.09,0.44,0.03,0.09,0.66,2015-01-01,19,7,92
3093,Scene It? Box Office Smash,0.33,0.25,0.0,0.07,0.66,2008-01-01,29,4,324
3094,Animaniacs Ten Pin Alley,0.36,0.25,0.0,0.04,0.66,1998-01-01,16,11,13
3095,Disney Infinity 2.0: Marvel Super Heroes,0.38,0.22,0.0,0.06,0.65,2014-01-01,28,1,127
3096,NHL 13,0.33,0.22,0.0,0.1,0.65,2012-01-01,18,11,139
3097,Kung Fu Panda,0.24,0.0,0.0,0.41,0.65,2008-01-01,17,1,22
3098,Tom Clancy's EndWar,0.32,0.22,0.01,0.1,0.65,2008-01-01,18,12,526
3099,The Evil Within,0.35,0.25,0.0,0.05,0.65,2014-01-01,31,1,67
3100,Tiger Woods PGA Tour 09,0.35,0.23,0.0,0.07,0.65,2008-01-01,29,11,139
3101,Radiata Stories,0.18,0.14,0.29,0.05,0.65,2005-01-01,17,8,466
3102,F-Zero GX,0.41,0.11,0.12,0.02,0.65,2003-01-01,8,7,360
3103,Disney's Chicken Little,0.32,0.25,0.0,0.08,0.65,2005-01-01,17,5,127
3104,Wall-E,0.29,0.22,0.0,0.14,0.65,2008-01-01,20,5,489
3105,Yoshi Topsy-Turvy,0.25,0.09,0.3,0.01,0.65,2004-01-01,7,5,360
3106,Up,0.31,0.28,0.0,0.07,0.65,2009-01-01,5,1,489
3107,Monster Jam: Maximum Destruction,0.32,0.25,0.0,0.08,0.65,2002-01-01,17,7,526
3108,Real Heroes: Firefighter,0.56,0.04,0.0,0.05,0.65,2009-01-01,27,1,434
3109,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,0.47,0.17,0.0,0.01,0.65,2005-01-01,7,4,489
3110,World of Dragon Warrior - Torneko: The Last Hope,0.02,0.01,0.58,0.04,0.65,1999-01-01,16,8,145
3111,Drawn to Life: The Next Chapter,0.45,0.14,0.0,0.06,0.65,2009-01-01,5,6,489
3112,MLB 14: The Show,0.58,0.0,0.0,0.07,0.65,2014-01-01,19,11,458
3113,Tiger Woods PGA Tour 10,0.39,0.2,0.0,0.06,0.65,2009-01-01,29,11,139
3114,Advance Wars 2: Black Hole Rising,0.47,0.17,0.0,0.01,0.65,2003-01-01,7,12,360
3115,Fire Emblem: Shadow Dragon,0.31,0.03,0.27,0.03,0.65,2008-01-01,5,8,360
3116,Centipede,0.36,0.25,0.0,0.04,0.65,1998-01-01,16,9,54
3117,Drakengard,0.19,0.15,0.26,0.05,0.65,2003-01-01,17,8,466
3118,SingStar Pop Hits,0.0,0.5,0.0,0.15,0.65,2007-01-01,17,4,457
3119,Kung-Fu Master,0.6,0.04,0.0,0.01,0.65,1987-01-01,1,1,22
3120,Champions: Return to Arms,0.32,0.25,0.0,0.08,0.65,2005-01-01,17,8,461
3121,Harry Potter and the Goblet of Fire,0.54,0.02,0.0,0.09,0.65,2005-01-01,17,1,139
3122,SingStar R&B,0.0,0.05,0.0,0.6,0.65,2007-01-01,17,4,457
3123,Mary-Kate and Ashley: Magical Mystery Mall,0.36,0.24,0.0,0.04,0.65,2000-01-01,16,2,18
3124,MX vs. ATV Untamed,0.35,0.18,0.0,0.12,0.65,2007-01-01,20,7,489
3125,Disney Sing It: Party Hits,0.5,0.11,0.0,0.05,0.65,2010-01-01,27,4,127
3126,Dead or Alive 5,0.23,0.15,0.2,0.07,0.65,2012-01-01,18,3,501
3127,Star Ocean: First Departure,0.2,0.14,0.22,0.09,0.65,2007-01-01,20,8,466
3128,Super Robot Taisen Impact,0.0,0.0,0.65,0.0,0.65,2002-01-01,17,12,64
3129,Dragon Age: Inquisition,0.26,0.23,0.05,0.1,0.65,2014-01-01,18,8,139
3130,The Black Eyed Peas Experience,0.39,0.2,0.0,0.06,0.65,2011-01-01,27,4,526
3131,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,0.0,0.0,0.65,0.0,0.65,2008-01-01,5,4,348
3132,Sengoku Basara: Samurai Heroes,0.17,0.04,0.4,0.03,0.65,2010-01-01,18,1,86
3133,Crysis 3,0.17,0.39,0.0,0.09,0.64,2013-01-01,14,9,139
3134,Paws & Claws: Pet Vet,0.6,0.0,0.0,0.05,0.64,2007-01-01,5,10,489
3135,Harry Potter and the Half-Blood Prince,0.13,0.07,0.0,0.44,0.64,2009-01-01,17,1,139
3136,Crash Bandicoot Purple: Ripto's Rampage,0.46,0.17,0.0,0.01,0.64,2004-01-01,7,5,546
3137,Diablo III,0.35,0.24,0.0,0.05,0.64,2014-01-01,31,8,22
3138,Spyro: A Hero's Tail,0.32,0.25,0.0,0.08,0.64,2004-01-01,17,5,546
3139,Crash of the Titans,0.25,0.25,0.0,0.15,0.64,2007-01-01,20,1,546
3140,Aliens: Colonial Marines,0.2,0.31,0.0,0.13,0.64,2013-01-01,18,9,447
3141,Crash: Twinsanity,0.32,0.25,0.0,0.08,0.64,2004-01-01,17,5,546
3142,Test Drive Unlimited 2,0.16,0.35,0.01,0.12,0.64,,18,7,54
3143,Max Payne 2: The Fall of Max Payne,0.47,0.15,0.0,0.02,0.64,2003-01-01,30,9,495
3144,Dragon Ball: Raging Blast 2,0.49,0.09,0.01,0.05,0.64,2010-01-01,29,3,348
3145,GoldenEye: Rogue Agent,0.54,0.02,0.0,0.09,0.64,2004-01-01,17,9,139
3146,NBA 2K17,0.54,0.04,0.0,0.07,0.64,2016-01-01,31,11,495
3147,Lost Planet: Extreme Condition,0.31,0.17,0.07,0.09,0.64,2008-01-01,18,9,86
3148,XCOM: Enemy Unknown,0.36,0.23,0.0,0.05,0.64,2012-01-01,29,12,495
3149,Rayman 3D,0.23,0.35,0.0,0.06,0.64,2011-01-01,3,5,526
3150,LEGO Marvel's Avengers,0.25,0.29,0.0,0.1,0.64,2016-01-01,19,1,550
3151,James Bond 007: Everything or Nothing,0.43,0.19,0.0,0.02,0.64,2004-01-01,30,9,139
3152,X2: Wolverine's Revenge,0.31,0.24,0.0,0.08,0.64,2003-01-01,17,5,22
3153,Stuntman: Ignition,0.25,0.32,0.0,0.07,0.64,2007-01-01,29,7,489
3154,NBA Live 06,0.57,0.04,0.0,0.03,0.64,2005-01-01,30,11,139
3155,Dragon Age II,0.23,0.33,0.0,0.09,0.64,2011-01-01,14,1,139
3156,LEGO Star Wars II: The Original Trilogy,0.55,0.04,0.0,0.05,0.64,2006-01-01,29,1,289
3157,Tom Clancy's Rainbow Six,0.48,0.15,0.0,0.01,0.64,1999-01-01,11,9,426
3158,Castlevania,0.44,0.1,0.04,0.05,0.64,1999-01-01,11,5,276
3159,Rayman 2: The Great Escape,0.4,0.22,0.0,0.02,0.64,1999-01-01,11,5,526
3160,Nicktoons Collection: Game Boy Advance Video Volume 1,0.46,0.17,0.0,0.01,0.64,2004-01-01,7,4,
3161,The Lord of the Rings: Conquest,0.37,0.21,0.0,0.06,0.64,2009-01-01,29,1,139
3162,TimeSplitters 2,0.29,0.33,0.0,0.01,0.64,2002-01-01,30,9,138
3163,Onimusha: Dawn of Dreams,0.15,0.12,0.34,0.04,0.64,2006-01-01,17,1,86
3164,NieR,0.17,0.2,0.2,0.07,0.64,2010-01-01,18,8,466
3165,The Princess and the Frog,0.41,0.17,0.0,0.06,0.64,2009-01-01,5,5,127
3166,Sega Rally Revo,0.07,0.43,0.0,0.14,0.64,2007-01-01,18,7,447
3167,SpongeBob SquarePants: Game Boy Advance Video Volume 1,0.46,0.17,0.0,0.01,0.64,2004-01-01,7,4,
3168,Gravity Rush,0.26,0.2,0.09,0.1,0.64,2012-01-01,21,1,457
3169,Konami Collector's Series: Arcade Advanced,0.46,0.17,0.0,0.01,0.64,2002-01-01,7,4,276
3170,White Knight Chronicles II,0.23,0.09,0.27,0.05,0.64,2010-01-01,18,8,457
3171,Wolfenstein,0.25,0.28,0.0,0.11,0.64,2009-01-01,18,9,22
3172,Jampack Volume 13 (RP-T),0.31,0.24,0.0,0.08,0.64,2005-01-01,17,4,457
3173,LEGO Dimensions,0.22,0.32,0.0,0.1,0.64,2015-01-01,19,1,550
3174,Start the Party!,0.07,0.42,0.0,0.14,0.64,2010-01-01,18,4,457
3175,Cruis'n World,0.59,0.04,0.0,0.01,0.64,1998-01-01,11,7,360
3176,Madden NFL 2001,0.6,0.03,0.0,0.01,0.64,2000-01-01,11,11,139
3177,NBA Live 08,0.56,0.02,0.01,0.05,0.64,2007-01-01,18,11,139
3178,The Walking Dead: Survival Instinct,0.46,0.12,0.0,0.05,0.64,2013-01-01,29,9,22
3179,Donkey Kong Barrel Blast,0.2,0.26,0.11,0.06,0.64,2007-01-01,27,7,360
3180,Okami,0.45,0.1,0.04,0.05,0.64,2008-01-01,27,1,86
3181,Lemony Snicket's A Series of Unfortunate Events,0.31,0.24,0.0,0.08,0.64,2004-01-01,17,5,22
3182,Middle-Earth: Shadow of Mordor,0.2,0.33,0.01,0.1,0.64,2014-01-01,18,1,550
3183,Family Feud: 2010 Edition,0.59,0.0,0.0,0.04,0.64,2009-01-01,27,4,526
3184,Red Steel 2,0.36,0.21,0.01,0.06,0.63,2010-01-01,27,9,526
3185,X-Men Legends II: Rise of Apocalypse,0.53,0.02,0.0,0.09,0.63,2005-01-01,17,8,22
3186,Nightmare Creatures,0.35,0.24,0.0,0.04,0.63,1997-01-01,16,1,457
3187,SingStar Queen,0.08,0.12,0.0,0.44,0.63,2009-01-01,17,4,457
3188,Just Dance 2015,0.41,0.16,0.0,0.06,0.63,2014-01-01,29,4,526
3189,F1 2013,0.01,0.45,0.03,0.15,0.63,2013-01-01,18,7,92
3190,Juiced 2: Hot Import Nights,0.22,0.34,0.0,0.07,0.63,2007-01-01,29,7,489
3191,Tony Hawk's Pro Skater 2x,0.41,0.19,0.0,0.03,0.63,2001-01-01,30,11,22
3192,Sim Theme Park,0.35,0.24,0.0,0.04,0.63,1999-01-01,16,12,139
3193,FIFA Soccer 2003,0.2,0.4,0.0,0.04,0.63,2002-01-01,30,11,139
3194,Ghostbusters: The Video Game,0.43,0.14,0.0,0.06,0.63,2009-01-01,29,1,54
3195,Monster Hunter 2,0.0,0.0,0.63,0.0,0.63,,17,8,86
3196,NASCAR 06: Total Team Control,0.53,0.02,0.0,0.09,0.63,2005-01-01,17,7,139
3197,Tony Hawk's Project 8,0.3,0.23,0.01,0.1,0.63,2006-01-01,18,11,22
3198,Dogz,0.45,0.17,0.0,0.01,0.63,2004-01-01,7,10,526
3199,Disney Universe,0.3,0.23,0.0,0.09,0.63,2011-01-01,18,1,127
3200,Guitar Hero: Metallica,0.28,0.24,0.0,0.1,0.63,2009-01-01,18,4,22
3201,Iron Man,0.46,0.09,0.0,0.09,0.63,2008-01-01,20,1,447
3202,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,0.0,0.0,0.63,0.0,0.63,2012-01-01,3,4,348
3203,Harry Potter and the Half-Blood Prince,0.21,0.35,0.0,0.07,0.63,2009-01-01,5,1,139
3204,A Bug's Life,0.49,0.13,0.0,0.01,0.63,1998-01-01,11,5,22
3205,Super Castlevania IV,0.32,0.05,0.25,0.01,0.63,1991-01-01,24,5,276
3206,DJ Hero 2,0.49,0.09,0.0,0.04,0.63,2010-01-01,27,4,22
3207,Angry Birds Trilogy,0.38,0.2,0.0,0.05,0.63,2012-01-01,3,1,22
3208,Condemned 2: Bloodshot,0.38,0.19,0.0,0.06,0.63,2008-01-01,29,1,447
3209,Cabela's Big Game Hunter (2008),0.58,0.0,0.0,0.05,0.63,2007-01-01,27,11,22
3210,Mobile Suit Z Gundam: AEUG vs. Titans,0.0,0.0,0.63,0.0,0.63,2003-01-01,17,3,348
3211,Just Dance 3,0.33,0.21,0.0,0.09,0.63,2011-01-01,18,4,526
3212,Call of Duty: Black Ops,0.54,0.05,0.0,0.04,0.63,2010-01-01,5,9,22
3213,God of War III,0.23,0.29,0.01,0.1,0.63,2015-01-01,19,1,457
3214,Ape Escape 2,0.12,0.09,0.38,0.03,0.63,2002-01-01,17,5,457
3215,Metroid Prime: Trilogy,0.43,0.05,0.0,0.14,0.63,2009-01-01,27,9,360
3216,X-Man,0.58,0.04,0.0,0.01,0.63,1982-01-01,1,1,529
3217,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",0.34,0.23,0.0,0.06,0.63,2009-01-01,29,9,22
3218,Advance Wars: Days of Ruin,0.44,0.13,0.0,0.06,0.63,,5,12,360
3219,The Sims 3: Generations,0.4,0.23,0.0,0.0,0.63,2011-01-01,14,10,139
3220,The Crew,0.24,0.34,0.0,0.05,0.63,2014-01-01,31,7,526
3221,Battle of Giants: Dragons,0.31,0.25,0.0,0.06,0.63,2009-01-01,5,12,526
3222,Dragon Quest Monsters Joker 3,0.0,0.0,0.63,0.0,0.63,2016-01-01,3,8,466
3223,Sonic & All-Stars Racing Transformed,0.2,0.37,0.0,0.06,0.63,2012-01-01,29,7,447
3224,Shin Megami Tensei: Persona 3 FES,0.22,0.2,0.16,0.05,0.63,2007-01-01,17,8,501
3225,FIFA Soccer 2002,0.31,0.24,0.0,0.08,0.63,2001-01-01,17,11,139
3226,Shin Megami Tensei: Persona 3 Portable,0.18,0.06,0.34,0.04,0.63,2009-01-01,20,8,194
3227,Final Fantasy VII International,0.0,0.0,0.59,0.04,0.63,1997-01-01,16,8,464
3228,Tiger Woods PGA Tour 12: The Masters,0.4,0.17,0.0,0.05,0.63,2011-01-01,29,11,139
3229,Okami,0.11,0.03,0.15,0.34,0.63,2006-01-01,17,1,86
3230,NHL 2001,0.35,0.24,0.0,0.04,0.63,2000-01-01,16,11,139
3231,World of Zoo,0.41,0.16,0.0,0.05,0.63,2009-01-01,27,10,489
3232,LEGO Jurassic World,0.35,0.22,0.0,0.06,0.63,2015-01-01,31,1,550
3233,Wet,0.22,0.27,0.01,0.11,0.63,2009-01-01,18,9,67
3234,MySims Racing,0.26,0.29,0.0,0.07,0.63,2009-01-01,5,7,139
3235,Buzz Lightyear of Star Command,0.35,0.24,0.0,0.04,0.63,2000-01-01,16,5,22
3236,Namco Museum,0.48,0.13,0.0,0.02,0.63,2002-01-01,8,4,348
3237,Nobunaga no Yabou: Haouden,0.3,0.0,0.32,0.0,0.62,1993-01-01,24,12,501
3238,Virtua Cop,0.0,0.0,0.62,0.0,0.62,1995-01-01,22,9,447
3239,Metal Gear Solid 2: Substance,0.38,0.22,0.0,0.03,0.62,,30,1,276
3240,Tony Hawk's American Wasteland,0.4,0.2,0.0,0.03,0.62,2005-01-01,30,11,22
3241,WWF in Your House,0.35,0.24,0.0,0.04,0.62,1996-01-01,16,3,18
3242,Prince of Persia: The Forgotten Sands,0.3,0.26,0.0,0.06,0.62,2010-01-01,29,1,526
3243,Vanquish,0.21,0.22,0.11,0.09,0.62,2010-01-01,18,9,447
3244,Wild ARMs 3,0.16,0.13,0.29,0.04,0.62,2002-01-01,17,8,526
3245,NBA ShootOut '97,0.35,0.24,0.0,0.04,0.62,1997-01-01,16,11,457
3246,Sacred 2: Fallen Angel,0.22,0.23,0.08,0.09,0.62,2009-01-01,18,8,121
3247,Madden NFL 07,0.48,0.13,0.0,0.02,0.62,2006-01-01,8,11,139
3248,Far Cry 4,0.15,0.42,0.0,0.05,0.62,2014-01-01,14,9,526
3249,Battlezone,0.58,0.03,0.0,0.01,0.62,1982-01-01,1,9,54
3250,Tiger Woods PGA Tour 2004,0.47,0.13,0.0,0.02,0.62,2003-01-01,30,11,139
3251,LEGO Pirates of the Caribbean: The Video Game,0.29,0.28,0.0,0.06,0.62,2011-01-01,3,1,127
3252,Pro Evolution Soccer 2015,0.1,0.23,0.22,0.08,0.62,2014-01-01,18,11,276
3253,Evolve,0.36,0.2,0.0,0.06,0.62,2015-01-01,31,9,495
3254,Tak 2: The Staff of Dreams,0.3,0.24,0.0,0.08,0.62,2004-01-01,17,5,489
3255,Dead Island: Riptide,0.26,0.2,0.07,0.09,0.62,2013-01-01,18,1,121
3256,Warriors Orochi 3,0.0,0.04,0.57,0.01,0.62,2011-01-01,18,1,527
3257,Bolt,0.35,0.21,0.0,0.06,0.62,2008-01-01,5,2,127
3258,Viewtiful Joe,0.38,0.1,0.12,0.02,0.62,2003-01-01,8,1,86
3259,The Urbz: Sims in the City,0.37,0.22,0.0,0.03,0.62,2004-01-01,7,10,139
3260,Beetle Adventure Racing!,0.4,0.2,0.0,0.02,0.62,1999-01-01,11,7,139
3261,FIFA Soccer,0.17,0.34,0.02,0.09,0.62,2012-01-01,21,11,139
3262,Disney's 102 Dalmatians: Puppies to the Rescue,0.34,0.23,0.0,0.04,0.62,2000-01-01,16,5,138
3263,Wipeout: The Game,0.58,0.0,0.0,0.04,0.62,2010-01-01,5,4,22
3264,Strike Force Bowling,0.3,0.24,0.0,0.08,0.62,2004-01-01,17,11,401
3265,SpongeBob's Atlantis SquarePantis,0.57,0.01,0.0,0.04,0.62,2007-01-01,27,1,489
3266,Metal Gear Solid V: Ground Zeroes,0.14,0.14,0.27,0.06,0.62,2014-01-01,18,1,276
3267,Halloween,0.58,0.03,0.0,0.01,0.62,1982-01-01,1,1,555
3268,Dragon Ball Z: Ultimate Tenkaichi,0.27,0.18,0.09,0.08,0.62,2011-01-01,18,3,348
3269,WWE SmackDown vs. Raw 2010,0.25,0.23,0.0,0.14,0.62,2009-01-01,20,3,489
3270,Bass Landing,0.21,0.14,0.23,0.04,0.62,1999-01-01,16,11,14
3271,XGRA: Extreme G-Racing Association,0.3,0.24,0.0,0.08,0.62,2004-01-01,17,7,138
3272,Mario's Picross,0.0,0.0,0.62,0.0,0.62,1995-01-01,6,6,360
3273,Pac-Man Player's Choice Bundle,0.48,0.12,0.0,0.02,0.62,2003-01-01,8,4,348
3274,Rocksmith 2014,0.34,0.17,0.0,0.11,0.62,2014-01-01,19,4,526
3275,Fighters MEGAMiX,0.0,0.0,0.62,0.0,0.62,1996-01-01,22,3,447
3276,Bahamut Lagoon,0.0,0.0,0.62,0.0,0.62,1996-01-01,24,8,467
3277,Wall-E,0.29,0.26,0.0,0.07,0.62,2008-01-01,29,5,489
3278,Tomb Raider III: Adventures of Lara Croft,0.59,0.03,0.0,0.0,0.62,1998-01-01,14,1,138
3279,Toshochu: Run for Money,0.0,0.0,0.62,0.0,0.62,2012-01-01,3,2,348
3280,Dragon Quest Monsters: Joker 2 Professional,0.0,0.0,0.62,0.0,0.62,2011-01-01,5,8,466
3281,NFL Quarterback Club 99,0.59,0.02,0.0,0.0,0.62,1998-01-01,11,11,18
3282,Super Robot Taisen α Gaiden,0.0,0.0,0.58,0.04,0.62,2001-01-01,16,12,64
3283,Formula 1: Championship Edition,0.0,0.57,0.04,0.0,0.61,2006-01-01,18,7,457
3284,Muramasa: The Demon Blade,0.33,0.13,0.11,0.04,0.61,2009-01-01,27,8,431
3285,NBA 2K9,0.56,0.0,0.0,0.05,0.61,2008-01-01,18,11,495
3286,SingStar Singalong With Disney,0.0,0.04,0.0,0.57,0.61,2008-01-01,17,4,457
3287,NHL 16,0.35,0.15,0.0,0.11,0.61,2015-01-01,19,11,139
3288,Plants vs. Zombies: Garden Warfare,0.21,0.29,0.01,0.11,0.61,2014-01-01,19,9,139
3289,NFL Fever 2003,0.46,0.13,0.0,0.02,0.61,2002-01-01,30,11,324
3290,Samurai Warriors 2,0.02,0.02,0.57,0.01,0.61,2006-01-01,17,1,501
3291,Dynasty Warriors 8,0.12,0.11,0.34,0.05,0.61,2013-01-01,18,1,501
3292,Disney Sing It: Family Hits,0.39,0.18,0.0,0.05,0.61,2010-01-01,27,4,127
3293,2 Games in 1: Sonic Battle & ChuChu Rocket!,0.44,0.16,0.0,0.01,0.61,2005-01-01,7,4,489
3294,Robotech: Battlecry,0.3,0.23,0.0,0.08,0.61,2002-01-01,17,9,487
3295,Dora the Explorer: Super Spies,0.44,0.16,0.0,0.01,0.61,2004-01-01,7,5,200
3296,New Carnival Games,0.35,0.21,0.0,0.05,0.61,2010-01-01,27,4,495
3297,Tony Hawk: RIDE,0.46,0.1,0.0,0.05,0.61,2009-01-01,29,11,22
3298,Just Dance 2014,0.33,0.23,0.0,0.05,0.61,2013-01-01,28,4,526
3299,Cooking Mama 4: Kitchen Magic!,0.5,0.07,0.0,0.04,0.61,2011-01-01,3,10,7
3300,Texas Hold 'Em Poker,0.44,0.16,0.0,0.01,0.61,2004-01-01,7,4,297
3301,Time Crisis 3,0.3,0.23,0.0,0.08,0.61,2003-01-01,17,9,348
3302,Cabela's Monster Buck Hunter,0.58,0.0,0.0,0.03,0.61,2010-01-01,27,11,22
3303,Ganbaru Watashi no Kakei Diary,0.0,0.0,0.61,0.0,0.61,2007-01-01,5,4,360
3304,pro evolution soccer 2011,0.09,0.44,0.0,0.07,0.61,2010-01-01,29,11,276
3305,New Play Control! Donkey Kong Jungle Beat,0.24,0.17,0.14,0.05,0.61,2008-01-01,27,5,360
3306,Small Soldiers,0.34,0.23,0.0,0.04,0.61,1998-01-01,16,5,139
3307,Yakuza: Dead Souls,0.09,0.07,0.42,0.03,0.61,2011-01-01,18,9,447
3308,Littlest Pet Shop: Garden,0.31,0.24,0.0,0.06,0.61,2008-01-01,5,10,139
3309,Half-Life 2,0.37,0.21,0.0,0.03,0.61,2005-01-01,30,9,139
3310,Duke Nukem: Total Meltdown,0.34,0.23,0.0,0.04,0.61,1997-01-01,16,9,178
3311,Pac-Man Party,0.47,0.09,0.01,0.04,0.61,2010-01-01,27,4,348
3312,Jak and Daxter: The Lost Frontier,0.18,0.27,0.0,0.15,0.61,2009-01-01,20,5,457
3313,Major League Baseball 2K8,0.56,0.0,0.0,0.05,0.61,2008-01-01,29,11,67
3314,SimCity DS,0.33,0.03,0.21,0.03,0.61,2007-01-01,5,10,139
3315,Major League Baseball 2K9,0.56,0.0,0.0,0.05,0.61,2009-01-01,29,11,463
